CVEGEO,suelo_arcilloso,suelo_arenoso,suelo_fertil,suelo_limitado,nomestado
08023,0.0,0.0,32.06369637657178,67.93630362342822,CHIHUAHUA
08024,0.0,13.524411430253535,86.47558856974646,0.0,CHIHUAHUA
08025,0.0,0.0,100.0,0.0,CHIHUAHUA
08026,0.0,36.42054534160982,63.57945465839019,0.0,CHIHUAHUA
08027,0.0,45.943303940857476,54.05669605914252,0.0,CHIHUAHUA
08028,0.0,72.42027494189364,0.0,27.57972505810635,CHIHUAHUA
08029,0.0,99.94260575204221,0.05739424795779822,0.0,CHIHUAHUA
08030,0.0,100.0,0.0,0.0,CHIHUAHUA
08031,0.0,8.353142091567944,91.64685790843207,0.0,CHIHUAHUA
08032,0.0,60.94056605586358,0.0,39.05943394413643,CHIHUAHUA
08033,0.0,84.30412088999219,15.695879110007807,0.0,CHIHUAHUA
08034,0.0,4.372493669258316,89.0162091289574,6.611297201784301,CHIHUAHUA
08035,0.0,17.406233546274407,9.712094218844388,72.8816722348812,CHIHUAHUA
08036,0.0,46.14604790028784,0.0,53.85395209971215,CHIHUAHUA
08037,0.0,100.0,0.0,0.0,CHIHUAHUA
08038,0.0,72.30910069777201,0.0,27.69089930222799,CHIHUAHUA
08039,0.0,0.0,0.0,100.0,CHIHUAHUA
08040,0.0,35.84951744611103,64.15048255388898,0.0,CHIHUAHUA
08041,0.0,88.73027010911925,11.269729890880747,0.0,CHIHUAHUA
08042,0.0,83.74906213099248,0.0,16.250937869007522,CHIHUAHUA
08043,0.0,0.0,100.0,0.0,CHIHUAHUA
08044,0.0,14.51671829994034,35.12695171315522,50.35632998690445,CHIHUAHUA
08045,0.0,14.073032602211285,0.0,85.92696739778873,CHIHUAHUA
08046,0.0,100.00000000000001,0.0,0.0,CHIHUAHUA
08047,0.0,70.02055439536625,29.97944560463375,0.0,CHIHUAHUA
08048,0.0,72.59420645657026,27.186827823923004,0.21896571950673557,CHIHUAHUA
08049,0.0,0.0,100.0,0.0,CHIHUAHUA
08050,0.0,5.530485559932873,21.064590385108296,73.40492405495883,CHIHUAHUA
08051,0.0,31.54280606228562,68.45719393771438,0.0,CHIHUAHUA
08052,0.0,66.26351591503509,0.0,33.73648408496492,CHIHUAHUA
08053,0.0,100.0,0.0,0.0,CHIHUAHUA
08054,0.0,39.62811009729819,60.3718899027018,0.0,CHIHUAHUA
08055,0.0,5.5311719691848475,0.0,94.46882803081515,CHIHUAHUA
08056,0.0,41.4987504699531,58.5012495300469,0.0,CHIHUAHUA
08057,0.0,0.0,100.0,0.0,CHIHUAHUA
08058,0.0,70.36688882203292,0.0,29.633111177967074,CHIHUAHUA
08059,0.0,100.0,0.0,0.0,CHIHUAHUA
08060,0.0,99.9828043218178,0.0,0.017195678182211082,CHIHUAHUA
08061,0.0,66.85849602475177,32.70475699722378,0.4367469780244567,CHIHUAHUA
08062,0.0,37.12630651343331,0.0,62.87369348656667,CHIHUAHUA
08063,0.0,0.575907217076895,99.42409278292311,0.0,CHIHUAHUA
08064,0.0,19.548291686450185,80.4517083135498,0.0,CHIHUAHUA
08065,0.0,99.76323212388004,0.2367678761199712,0.0,CHIHUAHUA
08066,0.0,100.0,0.0,0.0,CHIHUAHUA
08067,0.0,72.74357392252861,0.9236992854605355,26.332726792010856,CHIHUAHUA
09004,0.0,0.0,62.04042098091813,0.0,CIUDAD DE MÉXICO
09008,0.0,0.0,27.75837783061508,0.0,CIUDAD DE MÉXICO
09009,0.0,7.074446235512706,2.64591814964925,0.0,CIUDAD DE MÉXICO
09010,0.0,0.0,81.78375792624583,0.0,CIUDAD DE MÉXICO
09011,0.0,6.160840382666537,93.83826938193155,0.0,CIUDAD DE MÉXICO
09012,0.0,0.0,13.13129525293087,0.0,CIUDAD DE MÉXICO
09013,0.0,0.0,85.5171986570923,0.0,CIUDAD DE MÉXICO
10001,0.0,25.209542078782288,71.0120371473138,0.0,DURANGO
10002,0.0,100.0,0.0,0.0,DURANGO
10003,0.0,37.580364936140185,62.419635063859815,0.0,DURANGO
10004,0.0,60.50590335683235,0.0,34.85422510782923,DURANGO
10005,0.0,41.57886980172251,30.862890209046473,5.201593730306569,DURANGO
10006,0.0,99.31302258985669,0.0,0.6869774101433231,DURANGO
10007,0.0,0.8031935922214734,0.0,99.19680640777854,DURANGO
10008,0.0,7.31897657396068,0.0,83.58570663570367,DURANGO
10009,0.0,80.0486597211938,19.9513402788062,0.0,DURANGO
10010,0.0,69.78906721829514,0.43096310381038366,29.779969677894467,DURANGO
10011,0.0,84.47513783504651,15.524862164953484,0.0,DURANGO
10012,0.0,85.89106428447926,0.0,14.108935715520726,DURANGO
10013,0.0,35.421882521691195,0.0,64.57811747830881,DURANGO
10014,0.0,83.09402968748304,16.90597031251696,0.0,DURANGO
10015,0.0,97.86308045414783,0.0,2.1369195458521726,DURANGO
10016,0.0,38.31710294312948,0.0,0.0,DURANGO
10017,0.0,63.895067009992424,35.45948359430027,0.6454493957072983,DURANGO
10018,0.0,37.911694246162945,62.08830575383706,0.0,DURANGO
10019,0.0,100.0,0.0,0.0,DURANGO
10020,0.0,37.30750516098045,31.397372246517087,26.303122854908196,DURANGO
10021,0.0,58.221481958442986,0.0,41.77851804155702,DURANGO
10022,0.0,0.0,0.0,1.2421019555646897,DURANGO
10023,0.0,82.1078579936891,17.892142006310905,0.0,DURANGO
10024,0.0,88.43437762246393,11.56562237753607,0.0,DURANGO
10025,0.0,65.53478310135625,34.465216898643746,0.0,DURANGO
10026,0.0,71.5790366597606,28.420963340239407,0.0,DURANGO
10027,0.0,45.242941426624895,0.0,54.757058573375105,DURANGO
10028,0.0,47.21611789424083,50.83566843870214,1.9482136670570078,DURANGO
10029,0.0,100.0,0.0,0.0,DURANGO
10030,0.0,100.0,0.0,0.0,DURANGO
10031,0.0,41.41676295740227,0.0,57.60071054538045,DURANGO
10032,0.0,81.26687503857717,18.73312496142284,0.0,DURANGO
10033,0.0,25.486097621190712,54.72516787463732,0.0,DURANGO
10034,0.0,100.0,0.0,0.0,DURANGO
10035,0.0,73.31454769275305,26.685452307246944,0.0,DURANGO
10036,0.0,21.355161831091802,0.0,78.64483816890821,DURANGO
10037,0.0,99.99999999999999,0.0,0.0,DURANGO
10038,0.0,5.0541713296013135,0.0,0.0,DURANGO
10039,0.0,37.680489986503815,62.31951001349619,0.0,DURANGO
11001,100.0,0.0,0.0,0.0,GUANAJUATO
11002,74.39502195138346,0.0,25.60497804861655,0.0,GUANAJUATO
11003,35.145522276784845,0.0,64.85447772321515,0.0,GUANAJUATO
11004,100.0,0.0,0.0,0.0,GUANAJUATO
11005,100.0,0.0,0.0,0.0,GUANAJUATO
11006,0.0,48.98126582739155,51.01873417260845,0.0,GUANAJUATO
11007,100.0,0.0,0.0,0.0,GUANAJUATO
11008,26.18965631982533,0.0,73.81034368017467,0.0,GUANAJUATO
11009,62.53114481820121,0.0,37.46885518179879,0.0,GUANAJUATO
11010,0.0,0.0,100.0,0.0,GUANAJUATO
11011,100.0,0.0,0.0,0.0,GUANAJUATO
11012,54.38548524839444,0.0,45.61451475160557,0.0,GUANAJUATO
11013,0.0,0.0,100.0,0.0,GUANAJUATO
11014,2.574010703893958,0.0,97.42598929610604,0.0,GUANAJUATO
11015,2.9353204877464303,0.0,97.06467951225358,0.0,GUANAJUATO
11016,100.0,0.0,0.0,0.0,GUANAJUATO
11017,82.94356797085153,0.0,17.05643202914846,0.0,GUANAJUATO
11018,100.0,0.0,0.0,0.0,GUANAJUATO
11019,54.55344184032543,0.0,45.44655815967457,0.0,GUANAJUATO
11020,37.782645424449484,0.0,62.21735457555051,0.0,GUANAJUATO
11021,100.0,0.0,0.0,0.0,GUANAJUATO
